# Absorption coefficients
# HITRAN. Molecule CO2. Isotopologue(s): 636.
# Wavenumber range: 2200-2500 cm-1, T: 296 K, P: 1 atm, step: 0.01002 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# KNa, Ka and thier units definition in Eqs(2)-(3) of  http://hitran.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)

 2203.788780    1.8554408873E-05    7.4835119369E-25
 2203.798800    1.9329762423E-05    7.7962337047E-25
 2203.808820    2.0126332075E-05    8.1175125200E-25
 2203.818840    2.0983189263E-05    8.4631069840E-25
 2203.828860    2.1907215437E-05    8.8357925788E-25
 2203.838880    2.2913627402E-05    9.2417066665E-25
 2203.848900    2.4021058653E-05    9.6883646572E-25
 2203.858920    2.5266674621E-05    1.0190756409E-24
 2203.868940    2.6750631432E-05    1.0789277686E-24
 2203.878960    2.8521429805E-05    1.1503490187E-24
 2203.888980    3.0660264892E-05    1.2366142186E-24
 2203.899000    3.3250419384E-05    1.3410823921E-24
 2203.909020    3.6369342798E-05    1.4668772949E-24
 2203.919040    4.0079197444E-05    1.6165061067E-24
 2203.929060    4.4381064526E-05    1.7900124354E-24
 2203.939080    4.9198258193E-05    1.9843033263E-24
 2203.949100    5.4295643265E-05    2.1898951202E-24
 2203.959120    5.9238065508E-05    2.3892368298E-24
 2203.969140    6.3361459658E-05    2.5555448461E-24
 2203.979160    6.5967068685E-05    2.6606363443E-24
 2203.989180    6.6554243005E-05    2.6843187265E-24
 2203.999200    6.5077432047E-05    2.6247548110E-24
 2204.009220    6.1972592925E-05    2.4995279671E-24
 2204.019240    5.7927606268E-05    2.3363823441E-24
 2204.029260    5.3646203782E-05    2.1637014098E-24
 2204.039280    4.9612658593E-05    2.0010172533E-24
 2204.049300    4.6109577705E-05    1.8597282054E-24
 2204.059320    4.3256323215E-05    1.7446484732E-24
 2204.069340    4.1074866398E-05    1.6566642198E-24
 2204.079360    3.9539971459E-05    1.5947576148E-24
 2204.089380    3.8611924108E-05    1.5573268701E-24
 2204.099400    3.8253915823E-05    1.5428873948E-24
 2204.109420    3.8440421985E-05    1.5504097099E-24
 2204.119440    3.9162100580E-05    1.5795170256E-24
 2204.129460    4.0427289794E-05    1.6305456445E-24
