# Absorption coefficients
# CDSD 296K. Molecule CO2. Isotopologue(s): 626,636,628.
# Wavenumber range: 600-3000 cm-1, T: 296 K, P: 5 atm, step: 0.05007 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# KNa, Ka and thier units definition in Eqs(2)-(3) of  http://spectra.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)

  620.767860    1.3730526099E+00    1.1075810247E-20
  620.817930    1.3698945358E+00    1.1050335455E-20
  620.868000    1.3668362909E+00    1.1025665941E-20
  620.918070    1.3638788396E+00    1.1001809485E-20
  620.968140    1.3610229942E+00    1.0978772639E-20
  621.018210    1.3582694227E+00    1.0956560792E-20
  621.068280    1.3556186584E+00    1.0935178244E-20
  621.118350    1.3530711067E+00    1.0914628267E-20
  621.168420    1.3506270542E+00    1.0894913173E-20
  621.218490    1.3482866751E+00    1.0876034366E-20
  621.268560    1.3460500394E+00    1.0857992412E-20
  621.318630    1.3439172415E+00    1.0840788071E-20
  621.368700    1.3418880466E+00    1.0824419450E-20
  621.418770    1.3399621199E+00    1.0808883848E-20
  621.468840    1.3381394330E+00    1.0794181036E-20
  621.518910    1.3364193831E+00    1.0780306152E-20
  621.568980    1.3348016763E+00    1.0767256824E-20
  621.619050    1.3332858324E+00    1.0755029179E-20
  621.669120    1.3318713154E+00    1.0743618894E-20
  621.719190    1.3305575382E+00    1.0733021232E-20
  621.769260    1.3293438690E+00    1.0723231098E-20
  621.819330    1.3282296291E+00    1.0714243016E-20
  621.869400    1.3272141071E+00    1.0706051248E-20
  621.919470    1.3262965552E+00    1.0698649761E-20
  621.969540    1.3254761964E+00    1.0692032288E-20
  622.019610    1.3247522273E+00    1.0686192348E-20
  622.069680    1.3241238179E+00    1.0681123247E-20
  622.119750    1.3235901213E+00    1.0676818152E-20
  622.169820    1.3231502720E+00    1.0673270081E-20
  622.219890    1.3228033893E+00    1.0670471931E-20
  622.269960    1.3225485804E+00    1.0668416500E-20
  622.320030    1.3223849426E+00    1.0667096506E-20
  622.370100    1.3223115649E+00    1.0666504600E-20
  622.420170    1.3223275308E+00    1.0666633390E-20
  622.470240    1.3224319195E+00    1.0667475448E-20
  622.520310    1.3226238084E+00    1.0669023331E-20
  622.570380    1.3229022733E+00    1.0671269585E-20
  622.620450    1.3232663913E+00    1.0674206764E-20
  622.670520    1.3237152415E+00    1.0677827441E-20
  622.720590    1.3242479058E+00    1.0682124209E-20
  622.770660    1.3248634709E+00    1.0687089702E-20
  622.820730    1.3255610287E+00    1.0692716593E-20
  622.870800    1.3263396778E+00    1.0698997612E-20
  622.920870    1.3271985216E+00    1.0705925526E-20
  622.970940    1.3281366742E+00    1.0713493190E-20
  623.021010    1.3291532571E+00    1.0721693516E-20
  623.071080    1.3302474011E+00    1.0730519493E-20
  623.121150    1.3314182467E+00    1.0739964189E-20
  623.171220    1.3326649450E+00    1.0750020754E-20
  623.221290    1.3339866574E+00    1.0760682426E-20
  623.271360    1.3353825586E+00    1.0771942546E-20
  623.321430    1.3368518306E+00    1.0783794515E-20
  623.371500    1.3383936707E+00    1.0796231859E-20
  623.421570    1.3400072876E+00    1.0809248196E-20
  623.471640    1.3416919033E+00    1.0822837249E-20
  623.521710    1.3434467521E+00    1.0836992840E-20
  623.571780    1.3452710814E+00    1.0851708901E-20
  623.621850    1.3471641519E+00    1.0866979466E-20
  623.671920    1.3491252376E+00    1.0882798681E-20
  623.721990    1.3511536264E+00    1.0899160798E-20
  623.772060    1.3532486194E+00    1.0916060183E-20
  623.822130    1.3554095316E+00    1.0933491310E-20
  623.872200    1.3576356917E+00    1.0951448763E-20
  623.922270    1.3599265722E+00    1.0969928286E-20
  623.972340    1.3622812694E+00    1.0988922590E-20
  624.022410    1.3646992830E+00    1.1008427641E-20
  624.072480    1.3671799966E+00    1.1028438464E-20
  624.122550    1.3697228071E+00    1.1048950195E-20
  624.172620    1.3723271249E+00    1.1069958079E-20
