,wavenumber,experimental,"CO2 ν2a, phase I"
746,1319.13,3.4996,0.0
747,1320.09,3.51112,0.0
748,1321.06,3.50762,0.0
749,1322.02,3.50288,0.0
750,1322.98,3.50206,0.0
751,1323.95,3.49972,0.0
752,1324.91,3.49831,0.0
753,1325.88,3.49581,0.0
754,1326.84,3.49485,0.0
755,1327.81,3.49601,0.0
756,1328.77,3.49972,0.0
757,1329.73,3.50266,0.0
758,1330.7,3.50823,0.0
759,1331.66,3.50301,0.0
760,1332.63,3.50182,0.0
761,1333.59,3.50044,0.0
762,1334.56,3.48747,0.0
763,1335.52,3.46138,0.0
764,1336.48,3.4549,0.0
765,1337.45,3.44164,0.0
766,1338.41,3.41646,0.0
767,1339.38,3.41172,0.0
768,1340.34,3.42862,0.0
769,1341.31,3.42861,0.0
770,1342.27,3.40428,0.0
771,1343.23,3.38842,0.0
772,1344.2,3.3816,0.0
773,1345.16,3.37216,0.0
774,1346.13,3.36019,0.0
775,1347.09,3.35351,0.0
776,1348.06,3.345,0.0
777,1349.02,3.33662,0.0
778,1349.98,3.33614,0.0
779,1350.95,3.32649,0.0
780,1351.91,3.31448,0.0
781,1352.88,3.30917,0.0
782,1353.84,3.29276,0.0
783,1354.81,3.28973,0.0
784,1355.77,3.2947,0.0
785,1356.73,3.27845,0.0
786,1357.7,3.26629,0.0
787,1358.66,3.25985,0.0
788,1359.63,3.23539,0.0
789,1360.59,3.20431,0.0
790,1361.56,3.20531,0.0
791,1362.52,3.17086,0.0
792,1363.48,3.2376,0.0
793,1364.45,3.23571,0.0
794,1365.41,3.19006,0.0
795,1366.38,3.17993,0.0
796,1367.34,3.15051,0.0
797,1368.31,3.1461,0.0
798,1369.27,3.16153,0.0
799,1370.23,3.15392,0.0
800,1371.2,3.1381,0.0
801,1372.16,3.09856,0.0
802,1373.13,3.07011,0.0
803,1374.09,3.10465,0.0
804,1375.06,3.13045,0.0
805,1376.02,3.12762,0.0
806,1376.98,3.08921,0.0
807,1377.95,3.07974,0.0
808,1378.91,3.07992,0.0
809,1379.88,3.0725,0.0
810,1380.84,3.06191,0.0
811,1381.81,3.05109,0.0
812,1382.77,3.04231,0.0
813,1383.73,3.03573,0.0
814,1384.7,3.02801,0.0
815,1385.66,2.97848,0.0
816,1386.63,2.93012,0.0
817,1387.59,3.00916,0.0
818,1388.56,3.0663,0.0
819,1389.52,2.99737,0.0
820,1390.48,2.96692,0.0
821,1391.45,2.96044,0.0
822,1392.41,2.93816,0.0
823,1393.38,2.87363,0.0
824,1394.34,2.87876,0.0
825,1395.3,2.98906,0.0
826,1396.27,2.95897,0.0
827,1397.23,2.87995,0.0
828,1398.2,2.83221,0.0
829,1399.16,2.90196,0.0
830,1400.13,2.94185,0.0
831,1401.09,2.87745,0.0
832,1402.05,2.85117,0.0
833,1403.02,2.83159,0.0
834,1403.98,2.77461,0.0
835,1404.95,2.8017,0.0
836,1405.91,2.8643,0.0
837,1406.88,2.81494,0.0
838,1407.84,2.78426,0.0
839,1408.8,2.75816,0.0
840,1409.77,2.74902,0.0
841,1410.73,2.7333,0.0
842,1411.7,2.73089,0.0
843,1412.66,2.72053,0.0
844,1413.63,2.70728,0.0
845,1414.59,2.67815,0.0
846,1415.55,2.65438,0.0
847,1416.52,2.63043,0.0
848,1417.48,2.59015,0.0
849,1418.45,2.48709,0.0
850,1419.41,2.70134,0.0
851,1420.38,2.81325,0.0
852,1421.34,2.65195,0.0
853,1422.3,2.57198,0.0
854,1423.27,2.54354,0.0
855,1424.23,2.61329,0.0
856,1425.2,2.61368,0.0
857,1426.16,2.57681,0.0
858,1427.12,2.56157,0.0
859,1428.09,2.53756,0.0
860,1429.05,2.48424,0.0
861,1430.02,2.51935,0.0
862,1430.98,2.56757,0.0
863,1431.95,2.52242,0.0
864,1432.91,2.50657,0.0
865,1433.88,2.50192,0.0
866,1434.84,2.4226,0.0
867,1435.8,2.21895,0.0
868,1436.77,2.37378,0.0
869,1437.73,2.61604,0.0
