,wavenumber,experimental,CO2 v3b phase I,13CO2 v3b phase I,v3a,CO2 gas,linear baseline,residue,CO2 gas experimental
3184,3670.03,2.07106,0.0,0.0,0.0,0.0,6.44483,-4.37377,0.280065
3185,3670.99,2.75565,0.0,0.0,0.0,0.0,6.44899,-3.69334,0.296979
3186,3671.95,2.74865,0.0,0.0,0.0,0.0,6.45315,-3.70449,0.17123
3187,3672.92,2.41727,0.0,0.0,0.0,0.0,6.45731,-4.04004,0.109322
3188,3673.88,1.98961,0.0,0.0,0.0,0.0,6.46147,-4.47186,0.172961
3189,3674.85,1.84571,0.0,0.0,0.0,0.0,6.46563,-4.61992,0.385704
3190,3675.81,2.73555,0.0,0.0,0.0,0.0,6.4698,-3.73425,0.485606
3191,3676.78,3.00686,0.0,0.0,0.0,0.0,6.47396,-3.4671,0.297851
3192,3677.74,2.52792,0.0,0.0,0.0,0.0,6.47812,-3.95019,0.166383
3193,3678.7,2.35657,0.0,0.0,0.0,0.0,6.48228,-4.12571,0.149859
3194,3679.67,2.48525,0.0,0.0,0.0,0.0,6.48644,-4.00119,0.173127
3195,3680.63,2.58749,0.0,0.0,0.0,0.0,6.4906,-3.90311,0.12485
3196,3681.6,2.54363,0.0,0.0,0.0,0.0,6.49476,-3.95113,0.0790283
3197,3682.56,2.53477,0.0,0.0,0.0,0.0,6.49893,-3.96416,0.0736255
3198,3683.53,2.47006,0.0,0.0,0.0,0.0,6.50309,-4.03303,0.0794296
3199,3684.49,2.45532,0.0,0.0,0.0,0.0,6.50725,-4.05192,0.0951057
3200,3685.45,2.45183,0.0,0.0,0.0,0.0,6.51141,-4.05957,0.0929336
3201,3686.42,2.3711,0.0,0.0,0.0,0.0,6.51557,-4.14447,0.103523
3202,3687.38,1.81934,0.0,0.0,0.0,0.0,6.51973,-4.70039,0.166018
3203,3688.35,2.12789,0.0,0.0,0.0,0.0,6.52389,-4.396,0.301543
3204,3689.31,2.79798,0.0,0.0,0.0,0.0,6.52805,-3.73007,0.275887
3205,3690.28,2.35783,0.0,0.0,0.0,0.0,6.53222,-4.17439,0.250316
3206,3691.24,2.48518,0.0,0.0,0.0,0.0,6.53638,-4.0512,0.298637
3207,3692.2,2.66998,0.0,0.0,0.0,0.0,6.54054,-3.87056,0.205452
3208,3693.17,2.5474,0.0,0.0,0.0,0.0,6.5447,-3.9973,0.127518
3209,3694.13,2.49384,0.0,0.0,0.0,0.0,6.54886,-4.05503,0.11343
3210,3695.1,2.48363,0.0,0.0,0.0,0.0,6.55302,-4.0694,0.107462
3211,3696.06,2.47832,0.0,0.0,0.0,0.0,6.55718,-4.07887,0.114932
